Thu May 22 00:58:14 2025    out.prof

         81000586 function calls (80994289 primitive calls) in 41.105 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    67771    0.042    0.000    0.116    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\_moderngl.py:68(value)
    55449    0.012    0.000    0.115    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgshaders.py:42(send)
     6161    0.025    0.000    0.113    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\player.py:51(update)
4688/4467    0.003    0.000    0.106    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   100/44    0.000    0.000    0.103    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
    97/41    0.000    0.000    0.102    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      247    0.002    0.000    0.102    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\cpu.py:60(load_additional_registries)
   250/47    0.000    0.000    0.100    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    96/41    0.000    0.000    0.096    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
    94/40    0.000    0.000    0.095    0.002 <frozen importlib._bootstrap_external>:993(exec_module)
     6161    0.020    0.000    0.094    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgwidgets.py:831(draw_and_update_widgets)
    56/35    0.000    0.000    0.092    0.003 {built-in method builtins.__import__}
  1396622    0.084    0.000    0.084    0.000 {built-in method builtins.isinstance}
    247/1    0.000    0.000    0.080    0.080 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\typing\context.py:152(refresh)
    12322    0.012    0.000    0.075    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\moderngl\__init__.py:1570(texture)
     6161    0.014    0.000    0.074    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgshaders.py:48(release_all_textures)
   421914    0.067    0.000    0.067    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\enum.py:1128(__new__)
     6161    0.014    0.000    0.065    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\entities.py:312(process)
        1    0.000    0.000    0.061    0.061 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\game.py:110(quit)
        1    0.061    0.061    0.061    0.061 {built-in method pygame.base.quit}
    12322    0.060    0.000    0.060    0.000 {method 'texture' of 'mgl.Context' objects}
     6161    0.018    0.000    0.059    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\player.py:106(draw)
    12322    0.012    0.000    0.058    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\moderngl\__init__.py:719(release)
    67771    0.017    0.000    0.057    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\_moderngl.py:94(write)
     6161    0.015    0.000    0.055    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\entities.py:294(process)
    247/1    0.000    0.000    0.046    0.046 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\typing\context.py:394(_load_builtins)
   421722    0.045    0.000    0.045    0.000 {method 'colliderect' of 'pygame.rect.FRect' objects}
      247    0.001    0.000    0.044    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\typing\context.py:723(load_additional_registries)
   2223/9    0.004    0.000    0.044    0.005 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\typing\context.py:407(install_registry)
    13454    0.043    0.000    0.043    0.000 {built-in method pygame.transform.rotate}
    12322    0.043    0.000    0.043    0.000 {method 'release' of 'mgl.Texture' objects}
      246    0.000    0.000    0.040    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\typing\templates.py:1054(__init__)
    67771    0.040    0.000    0.040    0.000 {method '_write_uniform' of 'mgl.Context' objects}
     7884    0.013    0.000    0.040    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgwidgets.py:810(iter_widgets)
      239    0.000    0.000    0.039    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\typing\templates.py:1100(_init_once)
    39230    0.026    0.000    0.038    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\world.py:146(pos_to_tile)
      246    0.000    0.000    0.038    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\typing\templates.py:907(_get_target_registry)
     6161    0.005    0.000    0.031    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgshaders.py:45(render)
   161500    0.029    0.000    0.029    0.000 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\ecs.py:189(<genexpr>)
        1    0.000    0.000    0.029    0.029 C:\Users\leopc\AProgramming\0_Python_Projects\BlocksRewritten\src\game.py:22(__init__)
        1    0.000    0.000    0.028    0.028 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\numba\core\typing\cffi_utils.py:1(<module>)
    17/15    0.000    0.000    0.028    0.002 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2800.0_x64__qbz5n2kfra8p0\Lib\importlib\__init__.py:73(import_module)
    17/15    0.000    0.000    0.028    0.002 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.028    0.028 C:\Users\leopc\AProgramming\0_Python_Projects\pyengine\pyengine\pgshaders.py:8(__init__)
        1    0.000    0.000    0.026    0.026 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\cffi\api.py:41(__init__)
     6161    0.004    0.000    0.026    0.000 C:\Users\leopc\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\moderngl\__init__.py:1147(render)
